Ano,Municipio_corrigido,Orgao,NomeProjeto,Subtitulo,Valor,Deputado,Partido
2025,Santa Maria,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 1 - Atencao Basica - Santa Maria,1300000,Valdeci Oliveira,PT
2022,Bage,Secretaria da Saúde,Emenda Parlamentar 2022 de Bage,Ep 284 - Santa Casa de Caridade - Bage,1000000,Luiz Fernando Mainardi,PT
2023,Bage,Secretaria da Saúde,Emenda Parlamentar 2023 de Bage,Ep 39 - Santa Casa - Bage,1000000,Luiz Fernando Mainardi,PT
2024,Bage,Governo do Estado,Atuação da Defesa Civil Estadual - Ep,Ep 311 - Defesa Civil - Bage,1000000,Luiz Fernando Mainardi,PT
2024,Sao Leopoldo,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 89 - Fms - Hospital Centenario - Sao Leopoldo,1000000,Miguel Rossetto,PT
2024,Cachoeira do Sul,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 201 - Fms - Hospital de Caridade e Beneficencia - Cachoeira do Sul,1000000,Cláudio Tatsch,PL
2025,Bage,Secretaria da Saúde,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 72 - Atencao Basica - Bage,1000000,Luiz Fernando Mainardi,PT
2025,Bage,Secretaria de Desenvolvimento Urbano e Metropolitano,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,Ep 71 - Apoio Gestao Municipal - Bage,1000000,Luiz Fernando Mainardi,PT
2025,Cachoeira do Sul,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 224 - Fms - Hospital de Caridade e Beneficencia - Cachoeira do Sul,1000000,Cláudio Tatsch,PL
2025,Cruz Alta,Secretaria do Esporte e Lazer,Implantação de Núcleos de Esporte e Lazer - Ep,Ep 81 - Nucleos de Esporte e Lazer - Cruz Alta,800000,Rafael Braga,MDB
2023,RS,Secretaria da Educação,Emenda Parlamentar 2023 Em Definicao,Ep 564 - Valorizacao de Mulheres e Meninas e Prevencao e Combate a Discriminacao,765000,Sofia Cavedon,PT
2024,Bento Goncalves,Secretaria de Desenvolvimento Rural,Apoio e Desenvolvimento da Agricultura Familiar - Ep,Ep 1049 - Consevitis - Rs - Bento Goncalves,750000,Guilherme Pasin,PP
2024,Alvorada,Secretaria da Saúde,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 314 - Hospital Alvorada - Alvorada,700000,Stela Farias,PT
2025,Porto Alegre,Secretaria do Esporte e Lazer,Incentivo À Pratica de Esporte e Lazer e À Formação e Qualificação de Atletas -ep,Ep 578 - Clube Amigos do Rs - Porto Alegre,600000,Dr Thiago Duarte,UNIÃO
2022,RS,"Secretaria da Agricultura, Pecuária e Desenvolvimento Rural",Emenda Parlamentar 2022 Em Definicao,Ep 461 - Patrulha Agricola - Rs,500000,Elton Weber,PSB
2022,RS,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",Emenda Parlamentar 2022 Em Definicao,Ep 502 - Federacao Estadual Apaes,500000,Paparico Bacchi,PL
2022,Porto Alegre,Secretaria da Saúde,Emenda Parlamentar 2022 de Porto Alegre,Ep 29 - Assistencia Ambulatorial e Hospitalar - Porto Alegre,500000,Rodrigo Maroni,PV
2022,Sao Luiz Gonzaga,Secretaria da Saúde,Emenda Parlamentar 2022 de Sao Luiz Gonzaga,Ep 149 - Hospital Sao Luiz Gonzaga - Sao Luiz Gonzaga,500000,Valdeci Oliveira,PT
