Ano,Orgao,SiglaOrgao,NomeProjeto,Subtitulo,CodMunicipio,Valor,Complemento,Emenda,Deputado,Partido,Municipio_corrigido,Nome_deputado_padronizado
2025,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 1 - Atencao Basica - Santa Maria,109,1300000,beneficiado,1,Valdeci Oliveira,PT,Santa Maria,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA
2022,Secretaria da Saúde,SES,Emenda Parlamentar 2022 de Bage,Ep 284 - Santa Casa de Caridade - Bage,,1000000,Hospital beneficiado,284,Luiz Fernando Mainardi,PT,Bage,LUIZ FERNANDO MAINARDI
2023,Secretaria da Saúde,SES,Emenda Parlamentar 2023 de Bage,Ep 39 - Santa Casa - Bage,,1000000,Hospital beneficiado,39,Luiz Fernando Mainardi,PT,Bage,LUIZ FERNANDO MAINARDI
2024,Governo do Estado,GE,Atuação da Defesa Civil Estadual - Ep,Ep 311 - Defesa Civil - Bage,8,1000000,beneficiado,311,Luiz Fernando Mainardi,PT,Bage,LUIZ FERNANDO MAINARDI
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 89 - Fms - Hospital Centenario - Sao Leopoldo,124,1000000,beneficiado,89,Miguel Rossetto,PT,Sao Leopoldo,MIGUEL SOLDATELLI ROSSETTO
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 201 - Fms - Hospital de Caridade e Beneficencia - Cachoeira do Sul,15,1000000,beneficiado,201,Cláudio Tatsch,PL,Cachoeira do Sul,CLAUDIO GILNEI TATSCH
2025,Secretaria da Saúde,SES,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,Ep 72 - Atencao Basica - Bage,8,1000000,beneficiado,72,Luiz Fernando Mainardi,PT,Bage,LUIZ FERNANDO MAINARDI
2025,Secretaria de Desenvolvimento Urbano e Metropolitano,SEDUR,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,Ep 71 - Apoio Gestao Municipal - Bage,8,1000000,beneficiado,71,Luiz Fernando Mainardi,PT,Bage,LUIZ FERNANDO MAINARDI
2025,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 224 - Fms - Hospital de Caridade e Beneficencia - Cachoeira do Sul,15,1000000,beneficiado,224,Cláudio Tatsch,PL,Cachoeira do Sul,CLAUDIO GILNEI TATSCH
2025,Secretaria do Esporte e Lazer,SEL,Implantação de Núcleos de Esporte e Lazer - Ep,Ep 81 - Nucleos de Esporte e Lazer - Cruz Alta,34,800000,beneficiado,81,Rafael Braga,MDB,Cruz Alta,RAFAEL BRAGA
2023,Secretaria da Educação,SEDUC,Emenda Parlamentar 2023 Em Definicao,Ep 564 - Valorizacao de Mulheres e Meninas e Prevencao e Combate a Discriminacao,,765000,Ação apoiada,564,Sofia Cavedon,PT,RS,SOFIA CAVEDON NUNES
2024,Secretaria de Desenvolvimento Rural,SDR,Apoio e Desenvolvimento da Agricultura Familiar - Ep,Ep 1049 - Consevitis - Rs - Bento Goncalves,10,750000,beneficiado,1049,Guilherme Pasin,PP,Bento Goncalves,GUILHERME RECH PASIN
2024,Secretaria da Saúde,SES,Cofinanciamento Ambulatorial e Hospitalar - Ep,Ep 314 - Hospital Alvorada - Alvorada,165,700000,beneficiado,314,Stela Farias,PT,Alvorada,STELA BEATRIZ FARIAS LOPES
2025,Secretaria do Esporte e Lazer,SEL,Incentivo À Pratica de Esporte e Lazer e À Formação e Qualificação de Atletas -ep,Ep 578 - Clube Amigos do Rs - Porto Alegre,96,600000,beneficiado,578,Dr Thiago Duarte,UNIÃO,Porto Alegre,THIAGO PEREIRA DUARTE
2022,"Secretaria da Agricultura, Pecuária e Desenvolvimento Rural",SEAPDR,Emenda Parlamentar 2022 Em Definicao,Ep 461 - Patrulha Agricola - Rs,,500000,Município beneficiado,461,Elton Weber,PSB,RS,ELTON ROBERTO WEBER
2022,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",SICDHAS,Emenda Parlamentar 2022 Em Definicao,Ep 502 - Federacao Estadual Apaes,,500000,Entidade beneficiada,502,Paparico Bacchi,PL,RS,EDERILDO PAPARICO BACCHI
2022,Secretaria da Saúde,SES,Emenda Parlamentar 2022 de Porto Alegre,Ep 29 - Assistencia Ambulatorial e Hospitalar - Porto Alegre,,500000,Município beneficiado,29,Rodrigo Maroni,PV,Porto Alegre,RODRIGO MARONI
