ID_DEP,CANDIDATO_2018,CANDIDATO_2022,DEP,NOME PADRONIZADO
1,,ADÃO PRETTO FILHO,Adão Pretto Filho,ADAO PRETTO FILHO
2,ADOLFO JOSE BRITO,ADOLFO JOSÉ BRITO,Adolfo Brito,ADOLFO JOSE BRITO
3,,ADRIANA VIEIRA LARA,Adriana Lara,ADRIANA VIEIRA LARA
4,,AIRTON LUIZ ARTUS,Airton Artus,AIRTON ARTUS
5,JOSE AIRTON RIBEIRO DE LIMA,JOSE AIRTON RIBEIRO DE LIMA,Airton Lima,AIRTON LIMA
6,ALOISIO TALSO CLASSMANN,ALOISIO TALSO CLASSMANN,Aloísio Classmann,ALOISIO TALSO CLASSMANN
7,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA,Valdeci Oliveira,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA
8,ANY MACHADO ORTIZ,,Any Ortiz,ANY ORTIZ
9,,BRUNA LIEGE DA SILVA RODRIGUES,Bruna Rodrigues,BRUNA LIEGE DA SILVA RODRIGUES
10,APARECIDO MACEDO,APARECIDO MACEDO,Capitão Macedo,CAPITAO MACEDO
11,,CARLOS ANTÔNIO BÚRIGO,Carlos Búrigo,CARLOS BURIGO
12,,CARLOS HENRIQUE BASTOS D AVILA,Kaká D´Ávila,CARLOS HENRIQUE BASTOS D AVILA
13,,CLAIR TOMÉ KUHN,Clair Kuhn,CLAIR KUHN
14,,CLAUDIO GILNEI TATSCH,Cláudio Tatsch,CLAUDIO GILNEI TATSCH
15,,CLAUDIO MAXIMILIANO BRANCHIERI,Prof Claudio Branchieri,CLAUDIO MAXIMILIANO BRANCHIERI
16,DALCISO EBERHARDT DE OLIVEIRA,,Dalciso Oliveira,DALCISO OLIVEIRA
17,DIRCEU FRANCISCON,DIRCEU FRANCISCON,Dirceu Franciscon,DIRCEU FRANCISCON
18,JOÃO EDEGAR PRETTO,,Edegar Pretto,EDEGAR PRETTO
19,EDERILDO PAPARICO BACCHI,EDERILDO PAPARICO BACCHI,Paparico Bacchi,EDERILDO PAPARICO BACCHI
20,EDSON MEURER BRUM,EDIVILSON MEURER BRUM,Edivilson Brum,EDIVILSON MEURER BRUM
21,EDUARDO DEBACCO LOUREIRO,EDUARDO DEBACCO LOUREIRO,Eduardo Loureiro,EDUARDO DEBACCO LOUREIRO
22,,ELIANA DO NASCIMENTO NARVAIS BAYER,Eliana Bayer,ELIANA DO NASCIMENTO NARVAIS BAYER
23,ELIZANDRO SILVA DE FREITAS SABINO,ELIZANDRO SILVA DE FREITAS SABINO,Elizandro Sabino,ELIZANDRO SILVA DE FREITAS SABINO
24,ELTON ROBERTO WEBER,ELTON ROBERTO WEBER,Elton Weber,ELTON ROBERTO WEBER
25,ERIC LINS GRILO,,Eric Lins,ERIC LINS
26,ERNANI POLO,ERNANI POLO,Ernani Polo,ERNANI POLO
27,,FAISAL MOTHCI KARAM,Faisal Karam,FAISAL KARAM
28,,FELIPE ZORTEA CAMOZZATO,Felipe Camozzato,FELIPE ZORTEA CAMOZZATO
29,FERNANDO STEPHAN MARRONI,FERNANDO STEPHAN MARRONI,Fernando Marroni,FERNANDO MARRONI
30,FRANCIS SOMENSI,FRANCIS SOMENSI,Fran Somensi,FRAN SOMENSI
31,FRANCIANE ABADE BAYER MULLER,,Franciane Bayer,FRANCIANE BAYER
32,FREDERICO CANTORI ANTUNES,FREDERICO CANTORI ANTUNES,Frederico Antunes,FREDERICO CANTORI ANTUNES
33,GABRIEL VIEIRA DE SOUZA,,Gabriel Souza,GABRIEL SOUZA
34,GERSON BURMANN,GERSON BURMANN,Gerson Burmann,GERSON BURMANN
35,GILBERTO CAPOANI,GILBERTO CAPOANI,Gilberto Capoani,GILBERTO CAPOANI
36,GILBERTO JOSE SPIER VARGAS,GILBERTO JOSÉ SPIER VARGAS,Pepe Vargas,GILBERTO JOSE SPIER VARGAS
37,,GILMAR SOSSELLA,,GILMAR SOSSELLA
38,,GUILHERME RECH PASIN,Guilherme Pasin,GUILHERME RECH PASIN
39,,GUSTAVO ADOLFO VICTORINO GREHS,Gustavo Victorino,GUSTAVO ADOLFO VICTORINO GREHS
