Ano de eleição,Código município,Município,Nome candidato,Partido,Situação totalização,Votos nominais,Nome_deputado_padronizado,MUNICIPIO PADRONIZADO
2018,87696,NOVA PRATA,ERIC LINS GRILO,DEM,Eleito,16,ERIC LINS,NOVA PRATA
2018,89281,LAGOA BONITA DO SUL,ERIC LINS GRILO,DEM,Eleito,1,ERIC LINS,LAGOA BONITA DO SUL
2018,84972,IBARAMA,THIAGO PEREIRA DUARTE,DEM,Eleito,0,THIAGO PEREIRA DUARTE,IBARAMA
2018,88056,PORTO XAVIER,THIAGO PEREIRA DUARTE,DEM,Eleito,0,THIAGO PEREIRA DUARTE,PORTO XAVIER
2018,88099,QUARAÍ,ERIC LINS GRILO,DEM,Eleito,90,ERIC LINS,QUARAI
2018,87157,ITATIBA DO SUL,ERIC LINS GRILO,DEM,Eleito,0,ERIC LINS,ITATIBA DO SUL
2018,86800,HULHA NEGRA,THIAGO PEREIRA DUARTE,DEM,Eleito,2,THIAGO PEREIRA DUARTE,HULHA NEGRA
2018,84867,GUABIJU,THIAGO PEREIRA DUARTE,DEM,Eleito,3,THIAGO PEREIRA DUARTE,GUABIJU
2018,86274,DOM FELICIANO,THIAGO PEREIRA DUARTE,DEM,Eleito,11,THIAGO PEREIRA DUARTE,DOM FELICIANO
2018,85499,BOSSOROCA,THIAGO PEREIRA DUARTE,DEM,Eleito,0,THIAGO PEREIRA DUARTE,BOSSOROCA
2018,88188,DILERMANDO DE AGUIAR,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,0,DALCISO OLIVEIRA,DILERMANDO DE AGUIAR
2018,85626,IVORÁ,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,0,DALCISO OLIVEIRA,IVORA
2018,85898,CANOAS,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,13,DALCISO OLIVEIRA,CANOAS
2018,89524,WESTFALIA,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,0,DALCISO OLIVEIRA,WESTFALIA
2018,86460,CAMPESTRE DA SERRA,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,0,DALCISO OLIVEIRA,CAMPESTRE DA SERRA
2018,86770,GETÚLIO VARGAS,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,0,DALCISO OLIVEIRA,GETULIO VARGAS
2018,85502,GLORINHA,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,9,DALCISO OLIVEIRA,GLORINHA
2018,86215,CRUZEIRO DO SUL,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,0,DALCISO OLIVEIRA,CRUZEIRO DO SUL
2018,88390,SANTA CRUZ DO SUL,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,3,DALCISO OLIVEIRA,SANTA CRUZ DO SUL
2018,87734,OSÓRIO,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,8,DALCISO OLIVEIRA,OSORIO
2018,88749,VILA LÂNGARO,DALCISO EBERHARDT DE OLIVEIRA,PSB,Eleito,0,DALCISO OLIVEIRA,VILA LANGARO
2018,88013,PORTO ALEGRE,VILMAR LOURENÇO,PSL,Eleito,63,VILMAR LOURENCO,PORTO ALEGRE
2018,88013,PORTO ALEGRE,VILMAR LOURENÇO,PSL,Eleito,59,VILMAR LOURENCO,PORTO ALEGRE
2018,88013,PORTO ALEGRE,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,1651,RUY IRIGARAY,PORTO ALEGRE
2018,88455,SANT'ANA DO LIVRAMENTO,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,512,RUY IRIGARAY,SANT'ANA DO LIVRAMENTO
2018,89273,TAQUARA,VILMAR LOURENÇO,PSL,Eleito,85,VILMAR LOURENCO,TAQUARA
