Ano de eleição,Município,Partido,Código município,Nome candidato,Situação totalização,Votos nominais,Nome_deputado_padronizado,MUNICIPIO PADRONIZADO
2022,ARROIO DOS RATOS,PSDB,85219,VALDIR BONATTO,Eleito,3,VALDIR BONATTO,ARROIO DOS RATOS
2022,CAPÃO DO LEÃO,PSDB,89737,NADINE TAGLIARI FARIAS ANFLOR,Eleito,99,NADINE TAGLIARI FARIAS ANFLOR,CAPAO DO LEAO
2022,CAPELA DE SANTANA,PSDB,84891,NADINE TAGLIARI FARIAS ANFLOR,Eleito,8,NADINE TAGLIARI FARIAS ANFLOR,CAPELA DE SANTANA
2022,DOUTOR RICARDO,PSDB,88307,NADINE TAGLIARI FARIAS ANFLOR,Eleito,3,NADINE TAGLIARI FARIAS ANFLOR,DOUTOR RICARDO
2022,VIAMÃO,PSDB,89630,VALDIR BONATTO,Eleito,19582,VALDIR BONATTO,VIAMAO
2022,MOSTARDAS,PSDB,87513,NERI ANDRADE PEREIRA JUNIOR,Eleito,4,NERI ANDRADE PEREIRA JUNIOR,MOSTARDAS
2022,PARECI NOVO,PSDB,87327,NERI ANDRADE PEREIRA JUNIOR,Eleito,12,NERI ANDRADE PEREIRA JUNIOR,PARECI NOVO
2022,CHUVISCA,PSDB,88269,NADINE TAGLIARI FARIAS ANFLOR,Eleito,5,NADINE TAGLIARI FARIAS ANFLOR,CHUVISCA
2022,CACEQUI,PSDB,85570,NADINE TAGLIARI FARIAS ANFLOR,Eleito,7,NADINE TAGLIARI FARIAS ANFLOR,CACEQUI
2022,BOA VISTA DO INCRA,PSDB,89060,NADINE TAGLIARI FARIAS ANFLOR,Eleito,2,NADINE TAGLIARI FARIAS ANFLOR,BOA VISTA DO INCRA
2022,DOIS LAJEADOS,PSDB,84824,PEDRO OZORIO PEREIRA,Eleito,0,PEDRO OZORIO PEREIRA,DOIS LAJEADOS
2022,BARRA DO QUARAÍ,PSDB,88625,PEDRO OZORIO PEREIRA,Eleito,0,PEDRO OZORIO PEREIRA,BARRA DO QUARAI
2022,CATUÍPE,REPUBLICANOS,85979,FRANCIS SOMENSI,Suplente,0,FRAN SOMENSI,CATUIPE
2022,SÃO VENDELINO,REPUBLICANOS,85383,FRANCIS SOMENSI,Suplente,20,FRAN SOMENSI,SAO VENDELINO
2022,PINHEIRINHO DO VALE,PSDB,87408,VALDIR BONATTO,Eleito,0,VALDIR BONATTO,PINHEIRINHO DO VALE
2022,PEDRAS ALTAS,PSDB,89567,VALDIR BONATTO,Eleito,0,VALDIR BONATTO,PEDRAS ALTAS
2022,TABAÍ,REPUBLICANOS,88722,FRANCIS SOMENSI,Suplente,53,FRAN SOMENSI,TABAI
2022,CENTENÁRIO,REPUBLICANOS,86541,FRANCIS SOMENSI,Suplente,41,FRAN SOMENSI,CENTENARIO
2022,BOZANO,REPUBLICANOS,89087,FRANCIS SOMENSI,Suplente,1,FRAN SOMENSI,BOZANO
2022,CERRO LARGO,REPUBLICANOS,86010,FRANCIS SOMENSI,Suplente,13,FRAN SOMENSI,CERRO LARGO
