,Ano,Orgao,SiglaOrgao,CodUo,CodProjeto,NomeProjeto,CodSubtitulo,Subtitulo,SubtituloResumido,Municipio,CodMunicipio,Valor,Complemento,Emenda,Deputado,Partido,Municipio_corrigido
0,2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25001,Ep 1 - Atencao Basica - Santa Maria,EP 1,Santa Maria,109.0,1300000,beneficiado,1,Valdeci Oliveira,PT, Santa Maria
1,2022,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2022 de Bage,22072,Ep 284 - Santa Casa de Caridade - Bage,EP 284,,,1000000,Hospital beneficiado,284,Luiz Fernando Mainardi,PT, Bage
2,2023,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2023 de Bage,23002,Ep 39 - Santa Casa - Bage,,,,1000000,Hospital beneficiado,39,Luiz Fernando Mainardi,PT, Bage
3,2024,Governo do Estado,GE,40,1108,Atuação da Defesa Civil Estadual - Ep,24001,Ep 311 - Defesa Civil - Bage,EP 311,Bage,8.0,1000000,beneficiado,311,Luiz Fernando Mainardi,PT, Bage
4,2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24015,Ep 89 - Fms - Hospital Centenario - Sao Leopoldo,EP 89,Sao Leopoldo,124.0,1000000,beneficiado,89,Miguel Rossetto,PT, Sao Leopoldo
5,2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24036,Ep 201 - Fms - Hospital de Caridade e Beneficencia - Cachoeira do Sul,EP 201,Cachoeira do Sul,15.0,1000000,beneficiado,201,Cláudio Tatsch,PL, Cachoeira do Sul
6,2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25015,Ep 72 - Atencao Basica - Bage,EP 72,Bage,8.0,1000000,beneficiado,72,Luiz Fernando Mainardi,PT, Bage
7,2025,Secretaria de Desenvolvimento Urbano e Metropolitano,SEDUR,1,1038,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,25001,Ep 71 - Apoio Gestao Municipal - Bage,EP 71,Bage,8.0,1000000,beneficiado,71,Luiz Fernando Mainardi,PT, Bage
8,2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25035,Ep 224 - Fms - Hospital de Caridade e Beneficencia - Cachoeira do Sul,EP 224,Cachoeira do Sul,15.0,1000000,beneficiado,224,Cláudio Tatsch,PL, Cachoeira do Sul
9,2025,Secretaria do Esporte e Lazer,SEL,1,1050,Implantação de Núcleos de Esporte e Lazer - Ep,25002,Ep 81 - Nucleos de Esporte e Lazer - Cruz Alta,EP 81,Cruz Alta,34.0,800000,beneficiado,81,Rafael Braga,MDB, Cruz Alta
