Ano,Orgao,SiglaOrgao,CodUo,CodProjeto,NomeProjeto,CodSubtitulo,Subtitulo,SubtituloResumido,Municipio,CodMunicipio,Valor,Complemento,Emenda,Deputado,Partido
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25001,Ep 1 - Atencao Basica - Santa Maria,EP 1,Santa Maria,109,1300000,beneficiado,1,Valdeci Oliveira,PT
2022,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2022 de Bage,22072,Ep 284 - Santa Casa de Caridade - Bage,EP 284,,,1000000,Hospital beneficiado,284,Luiz Fernando Mainardi,PT
2023,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2023 de Bage,23002,Ep 39 - Santa Casa - Bage,,,,1000000,Hospital beneficiado,39,Luiz Fernando Mainardi,PT
2024,Governo do Estado,GE,40,1108,Atuação da Defesa Civil Estadual - Ep,24001,Ep 311 - Defesa Civil - Bage,EP 311,Bage,8,1000000,beneficiado,311,Luiz Fernando Mainardi,PT
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24015,Ep 89 - Fms - Hospital Centenario - Sao Leopoldo,EP 89,Sao Leopoldo,124,1000000,beneficiado,89,Miguel Rossetto,PT
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24036,Ep 201 - Fms - Hospital de Caridade e Beneficencia - Cachoeira do Sul,EP 201,Cachoeira do Sul,15,1000000,beneficiado,201,Cláudio Tatsch,PL
2025,Secretaria da Saúde,SES,95,1028,Ampliação e Qualificação da Atenção Primária Em Saúde - Ep,25015,Ep 72 - Atencao Basica - Bage,EP 72,Bage,8,1000000,beneficiado,72,Luiz Fernando Mainardi,PT
2025,Secretaria de Desenvolvimento Urbano e Metropolitano,SEDUR,1,1038,Apoio Ao Desenvolvimento da Gestão Municipal - Ep,25001,Ep 71 - Apoio Gestao Municipal - Bage,EP 71,Bage,8,1000000,beneficiado,71,Luiz Fernando Mainardi,PT
2025,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,25035,Ep 224 - Fms - Hospital de Caridade e Beneficencia - Cachoeira do Sul,EP 224,Cachoeira do Sul,15,1000000,beneficiado,224,Cláudio Tatsch,PL
2025,Secretaria do Esporte e Lazer,SEL,1,1050,Implantação de Núcleos de Esporte e Lazer - Ep,25002,Ep 81 - Nucleos de Esporte e Lazer - Cruz Alta,EP 81,Cruz Alta,34,800000,beneficiado,81,Rafael Braga,MDB
2023,Secretaria da Educação,SEDUC,1901,1089,Emenda Parlamentar 2023 Em Definicao,23001,Ep 564 - Valorizacao de Mulheres e Meninas e Prevencao e Combate a Discriminacao,,,,765000,Ação apoiada,564,Sofia Cavedon,PT
2024,Secretaria de Desenvolvimento Rural,SDR,76,1067,Apoio e Desenvolvimento da Agricultura Familiar - Ep,24031,Ep 1049 - Consevitis - Rs - Bento Goncalves,EP 1049,Bento Goncalves,10,750000,beneficiado,1049,Guilherme Pasin,PP
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24054,Ep 314 - Hospital Alvorada - Alvorada,EP 314,Alvorada,165,700000,beneficiado,314,Stela Farias,PT
2025,Secretaria do Esporte e Lazer,SEL,1,1049,Incentivo À Pratica de Esporte e Lazer e À Formação e Qualificação de Atletas -ep,25013,Ep 578 - Clube Amigos do Rs - Porto Alegre,EP 578,Porto Alegre,96,600000,beneficiado,578,Dr Thiago Duarte,UNIÃO
2022,"Secretaria da Agricultura, Pecuária e Desenvolvimento Rural",SEAPDR,1501,1013,Emenda Parlamentar 2022 Em Definicao,22020,Ep 461 - Patrulha Agricola - Rs,EP 461,,,500000,Município beneficiado,461,Elton Weber,PSB
2022,"Secretaria da Igualdade, Cidadania, Direitos Humanos e Assistencia Social",SICDHAS,2175,1039,Emenda Parlamentar 2022 Em Definicao,22016,Ep 502 - Federacao Estadual Apaes,EP 502,,,500000,Entidade beneficiada,502,Paparico Bacchi,PL
2022,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2022 de Porto Alegre,22012,Ep 29 - Assistencia Ambulatorial e Hospitalar - Porto Alegre,EP 29,,,500000,Município beneficiado,29,Rodrigo Maroni,PV
2022,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2022 de Sao Luiz Gonzaga,22041,Ep 149 - Hospital Sao Luiz Gonzaga - Sao Luiz Gonzaga,EP 149,,,500000,Hospital beneficiado,149,Valdeci Oliveira,PT
2022,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2022 de Uruguaiana,22055,Ep 200 - Santa Casa - Uruguaiana,EP 200,,,500000,Hospital beneficiado,200,Frederico Antunes,PP
2022,Secretaria da Segurança Pública,SSP,1203,1009,Emenda Parlamentar 2022 de Porto Alegre,22002,Ep 362 - Hbm - Porto Alegre,EP 362,,,500000,Município beneficiado,362,Ruy Irigaray,PSL
2022,Secretaria da Segurança Pública,SSP,1203,1010,Emenda Parlamentar 2022 de Rio Pardo,22007,Ep 56 - Bm - Rio Pardo,EP 56,,,500000,Município beneficiado,56,Clair Kuhn,MDB
2022,Secretaria de Desenvolvimento Urbano e Metropolitano,SEDUR,2601,1038,Emenda Parlamentar 2022 de Cangucu,22004,Ep 161 - Pavimentacao Coxilha dos Campos - Cangucu,EP 161,,,500000,Município beneficiado,161,Pedro Pereira,PSDB
2023,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2023 de Sao Borja,23091,Ep 511 - Hospital Ivan Goulart - Sao Borja,,,,500000,Hospital beneficiado,511,Juliana Brizola,PDT
2023,Secretaria da Saúde,SES,2095,1029,Emenda Parlamentar 2023 de Sarandi,23090,Ep 510 - Hospital Comunitario Sarandi - Sarandi,,,,500000,Hospital beneficiado,510,Juliana Brizola,PDT
2023,"Secretaria de Justiça, Cidadania e Direitos Humanos",SJCDH,2875,1039,Emenda Parlamentar 2023 Em Definicao,23002,Ep 40 - Federacao Estadual Apaes,,,,500000,Entidade beneficiada,40,Paparico Bacchi,PL
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24013,Ep 77 - Hospital Universitario Urcamp - Bage,EP 77,Bage,8,500000,beneficiado,77,Luiz Fernando Mainardi,PT
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24014,Ep 78 - Santa Casa - Bage,EP 78,Bage,8,500000,beneficiado,78,Luiz Fernando Mainardi,PT
2024,Secretaria da Saúde,SES,95,1029,Cofinanciamento Ambulatorial e Hospitalar - Ep,24006,Ep 40 - Hospital Casa de Saude - Santa Maria,EP 40,Santa Maria,109,500000,beneficiado,40,Valdeci Oliveira,PT
